# Analizando ../fac-sdl/assets/music/song68.ogg (44100 Hz)
# Umbral: 1.80x | Energia Minima: 1.50
# tiempo;duracion;carril
126.642;0.00;-1
127.060;0.00;-1
127.501;0.00;-1
127.919;0.00;-1
128.360;0.00;-1
128.778;0.00;-1
129.219;0.00;-1
129.637;0.00;-1
130.055;0.00;-1
130.496;0.00;-1
130.914;0.00;-1
131.355;0.00;-1
131.773;0.00;-1
132.214;0.00;-1
132.632;0.00;-1
133.120;0.00;-1
133.492;0.00;-1
134.002;0.00;-1
134.351;0.00;-1
135.210;0.00;-1
135.628;0.00;-1
136.092;0.00;-1
136.487;0.00;-1
136.928;0.00;-1
137.346;0.00;-1
137.787;0.00;-1
138.205;0.00;-1
138.693;0.00;-1
139.923;0.00;-1
140.341;0.00;-1
140.783;0.00;-1
141.201;0.00;-1
141.642;0.00;-1
142.060;0.00;-1
142.501;0.00;-1
142.919;0.00;-1
143.360;0.00;-1
143.778;0.00;-1
144.219;0.00;-1
145.380;0.00;-1
145.496;0.00;-1
145.612;0.00;-1
145.914;0.00;-1
146.030;0.00;-1
146.355;0.00;-1
146.773;0.00;-1
147.215;0.00;-1
147.632;0.00;-1
148.120;0.00;-1
148.492;0.00;-1
149.351;0.00;-1
149.769;0.00;-1
150.210;0.00;-1
150.628;0.00;-1
151.069;0.00;-1
151.487;0.00;-1
152.346;0.00;-1
153.205;0.00;-1
153.623;0.00;-1
154.064;0.00;-1
154.482;0.00;-1
154.924;0.00;-1
155.341;0.00;-1
155.783;0.00;-1
156.201;0.00;-1
156.642;0.00;-1
157.060;0.00;-1
157.919;0.00;-1
158.360;0.00;-1
158.778;0.00;-1
159.266;0.00;-1
160.496;0.00;-1
160.914;0.00;-1
161.773;0.00;-1
162.633;0.00;-1
163.051;0.00;-1
163.492;0.00;-1
163.910;0.00;-1
164.351;0.00;-1
164.769;0.00;-1
165.210;0.00;-1
165.628;0.00;-1
166.069;0.00;-1
166.487;0.00;-1
167.346;0.00;-1
167.787;0.00;-1
168.205;0.00;-1
168.670;0.00;-1
169.064;0.00;-1
169.529;0.00;-1
169.924;0.00;-1
170.365;0.00;-1
170.783;0.00;-1
171.201;0.00;-1
171.410;0.00;-1
171.665;0.00;-1
172.060;0.00;-1
172.269;0.00;-1
172.919;0.00;-1
173.337;0.00;-1
173.778;0.00;-1
174.196;0.00;-1
174.637;0.00;-1
175.055;0.00;-1
175.496;0.00;-1
175.914;0.00;-1
176.356;0.00;-1
176.774;0.00;-1
177.215;0.00;-1
177.633;0.00;-1
178.074;0.00;-1
178.492;0.00;-1
179.351;0.00;-1
180.210;0.00;-1
180.628;0.00;-1
181.069;0.00;-1
181.487;0.00;-1
182.346;0.00;-1
182.764;0.00;-1
183.205;0.00;-1
183.623;0.00;-1
184.065;0.00;-1
184.483;0.00;-1
184.924;0.00;-1
185.342;0.00;-1
185.783;0.00;-1
186.201;0.00;-1
186.642;0.00;-1
187.060;0.00;-1
187.501;0.00;-1
187.919;0.00;-1
188.360;0.00;-1
188.778;0.00;-1
189.637;0.00;-1
190.055;0.00;-1
190.497;0.00;-1
190.914;0.00;-1
191.356;0.00;-1
191.774;0.00;-1
192.238;0.00;-1
192.633;0.00;-1
193.051;0.00;-1
193.492;0.00;-1
193.910;0.00;-1
194.351;0.00;-1
194.769;0.00;-1
195.210;0.00;-1
195.628;0.00;-1
196.069;0.00;-1
196.487;0.00;-1
197.346;0.00;-1
198.206;0.00;-1
199.065;0.00;-1
199.924;0.00;-1
