# Analizando assets/music/zenith_sector/bg_start_3.ogg (44100 Hz)
# Umbral: 0.60x | Energia Minima: 0.30
# tiempo;duracion;carril

9.636;0.00;-1
9.752;0.00;-1
9.868;0.00;-1
9.985;0.00;-1
10.101;0.00;-1
10.217;0.00;-1
10.333;0.00;-1
10.449;0.00;-1
10.565;0.00;-1
10.681;0.00;-1
10.797;0.00;-1
10.913;0.00;-1
11.029;0.00;-1
11.146;0.00;-1
11.262;0.00;-1
11.378;0.00;-1
11.494;0.00;-1
11.610;0.00;-1
11.726;0.00;-1
11.842;0.00;-1
11.958;0.00;-1
12.074;0.00;-1
12.190;0.00;-1
12.307;0.00;-1
12.423;0.00;-1
12.539;0.00;-1
12.655;0.00;-1
12.771;0.00;-1
12.887;0.00;-1
13.003;0.00;-1
13.119;0.00;-1
13.235;0.00;-1
13.351;0.00;-1
13.468;0.00;-1
13.584;0.00;-1
13.700;0.00;-1
13.816;0.00;-1
13.932;0.00;-1
14.048;0.00;-1
14.164;0.00;-1
14.280;0.00;-1
14.396;0.00;-1
14.512;0.00;-1
14.629;0.00;-1
14.745;0.00;-1
14.861;0.00;-1
14.977;0.00;-1
15.093;0.00;-1
15.209;0.00;-1
15.325;0.00;-1
15.441;0.00;-1
15.557;0.00;-1
15.673;0.00;-1
15.790;0.00;-1
15.906;0.00;-1
16.022;0.00;-1
16.138;0.00;-1
16.254;0.00;-1
16.370;0.00;-1
16.486;0.00;-1
16.602;0.00;-1
16.718;0.00;-1
16.834;0.00;-1
16.951;0.00;-1
17.067;0.00;-1
17.183;0.00;-1
17.299;0.00;-1
17.415;0.00;-1
17.531;0.00;-1
17.647;0.00;-1
17.763;0.00;-1
17.879;0.00;-1
17.995;0.00;-1
18.112;0.00;-1
18.228;0.00;-1
18.344;0.00;-1
18.460;0.00;-1
18.576;0.00;-1
18.692;0.00;-1
18.808;0.00;-1
18.924;0.00;-1
19.040;0.00;-1
19.156;0.00;-1
19.273;0.00;-1
19.389;0.00;-1
19.505;0.00;-1
19.621;0.00;-1
19.737;0.00;-1
19.853;0.00;-1
19.969;0.00;-1
20.085;0.00;-1
20.201;0.00;-1
20.317;0.00;-1
20.434;0.00;-1
20.550;0.00;-1
20.666;0.00;-1
20.782;0.00;-1
20.898;0.00;-1
21.014;0.00;-1
21.130;0.00;-1
21.246;0.00;-1
21.362;0.00;-1
21.478;0.00;-1
21.595;0.00;-1
21.711;0.00;-1
21.827;0.00;-1
21.943;0.00;-1
22.059;0.00;-1
22.175;0.00;-1
22.291;0.00;-1
22.407;0.00;-1
22.523;0.00;-1
22.639;0.00;-1
22.756;0.00;-1
22.872;0.00;-1
22.988;0.00;-1
23.104;0.00;-1
23.220;0.00;-1
23.336;0.00;-1
23.452;0.00;-1
23.568;0.00;-1
23.684;0.00;-1
23.800;0.00;-1
23.917;0.00;-1
24.033;0.00;-1
24.149;0.00;-1
24.265;0.00;-1
24.381;0.00;-1
24.497;0.00;-1
24.613;0.00;-1
24.729;0.00;-1
24.845;0.00;-1
24.961;0.00;-1
25.078;0.00;-1
25.194;0.00;-1
25.310;0.00;-1
25.426;0.00;-1
25.542;0.00;-1
25.658;0.00;-1
25.774;0.00;-1
25.890;0.00;-1
26.006;0.00;-1
26.122;0.00;-1
26.239;0.00;-1
26.355;0.00;-1
26.471;0.00;-1
26.587;0.00;-1
26.703;0.00;-1
26.819;0.00;-1
26.935;0.00;-1
27.051;0.00;-1
27.167;0.00;-1
27.283;0.00;-1
27.400;0.00;-1
27.516;0.00;-1
27.632;0.00;-1
27.748;0.00;-1
27.864;0.00;-1
27.980;0.00;-1
28.096;0.00;-1
28.212;0.00;-1
28.328;0.00;-1
28.444;0.00;-1
28.561;0.00;-1
28.677;0.00;-1
28.793;0.00;-1
28.909;0.00;-1
29.025;0.00;-1
29.141;0.00;-1
29.257;0.00;-1
29.373;0.00;-1
29.489;0.00;-1
29.605;0.00;-1
29.722;0.00;-1
29.838;0.00;-1
29.954;0.00;-1
30.070;0.00;-1
30.186;0.00;-1
30.302;0.00;-1
30.418;0.00;-1
30.534;0.00;-1
30.650;0.00;-1
30.766;0.00;-1
30.883;0.00;-1
30.999;0.00;-1
31.115;0.00;-1
31.231;0.00;-1
31.347;0.00;-1
31.463;0.00;-1
31.579;0.00;-1
31.695;0.00;-1
31.811;0.00;-1
31.927;0.00;-1
32.044;0.00;-1
32.160;0.00;-1
32.276;0.00;-1
32.392;0.00;-1
32.508;0.00;-1
32.624;0.00;-1
32.740;0.00;-1
32.856;0.00;-1
32.972;0.00;-1
33.088;0.00;-1
33.205;0.00;-1
33.321;0.00;-1
33.437;0.00;-1
33.553;0.00;-1
33.669;0.00;-1
33.785;0.00;-1
33.901;0.00;-1
34.017;0.00;-1
34.133;0.00;-1
34.249;0.00;-1
34.366;0.00;-1
34.482;0.00;-1
34.598;0.00;-1
34.714;0.00;-1
34.830;0.00;-1
34.946;0.00;-1
35.062;0.00;-1
35.178;0.00;-1
35.294;0.00;-1
35.410;0.00;-1
35.527;0.00;-1
35.643;0.00;-1
35.759;0.00;-1
35.875;0.00;-1
35.991;0.00;-1
36.107;0.00;-1
36.223;0.00;-1
36.339;0.00;-1
36.455;0.00;-1
36.571;0.00;-1
36.688;0.00;-1
36.804;0.00;-1
36.920;0.00;-1
37.036;0.00;-1
37.152;0.00;-1
37.268;0.00;-1
37.384;0.00;-1
37.500;0.00;-1
37.616;0.00;-1
37.732;0.00;-1
37.849;0.00;-1
37.965;0.00;-1
38.081;0.00;-1
38.197;0.00;-1
38.313;0.00;-1
38.429;0.00;-1
38.545;0.00;-1
38.661;0.00;-1
38.777;0.00;-1
38.893;0.00;-1
39.010;0.00;-1
39.126;0.00;-1
39.242;0.00;-1
39.358;0.00;-1
39.474;0.00;-1
39.590;0.00;-1
39.706;0.00;-1
39.822;0.00;-1
39.938;0.00;-1
40.054;0.00;-1
40.171;0.00;-1
40.287;0.00;-1
40.403;0.00;-1
40.519;0.00;-1
40.635;0.00;-1
40.751;0.00;-1
40.867;0.00;-1
40.983;0.00;-1
41.099;0.00;-1
41.215;0.00;-1
41.355;0.00;-1
41.471;0.00;-1
41.587;0.00;-1
41.703;0.00;-1
